contamination,n_estimators,max_samples,max_features,recall
0.05,100,0.6,0.6,0.6239707227813358
0.05,110,0.8,0.8,0.6105519975602318
0.05,80,0.8,0.8,0.6096370844769747
0.05,120,0.8,0.8,0.6035376639219274
0.05,100,0.8,0.8,0.603232692894175
0.05,90,0.8,0.8,0.6010978956999085
0.05,90,0.8,0.6,0.5946935041171089
0.05,120,0.8,0.6,0.5879841415065569
0.05,80,0.8,0.6,0.5876791704788045
0.05,110,0.6,0.8,0.5861543153400427
0.05,120,0.6,0.8,0.5846294602012809
0.05,110,0.8,0.6,0.5846294602012809
0.05,90,0.6,0.8,0.5837145471180238
0.05,80,0.6,0.8,0.5837145471180238
0.05,110,0.8,1.0,0.583104605062519
0.05,80,1.0,0.6,0.582189691979262
0.05,100,0.6,0.8,0.5818847209515096
0.05,110,1.0,0.6,0.5812747788960049
0.05,120,1.0,0.6,0.5809698078682525
0.05,120,1.0,0.8,0.5782250686184812
0.05,100,1.0,0.6,0.5779200975907289
0.05,100,0.8,0.6,0.5760902714242147
0.05,120,0.8,1.0,0.5745654162854529
0.05,90,1.0,0.6,0.5742604452577005
0.05,110,1.0,0.8,0.572125648063434
0.05,100,0.8,1.0,0.5699908508691675
0.05,100,1.0,0.8,0.5672461116193962
0.05,80,1.0,0.8,0.5669411405916438
0.05,120,0.6,1.0,0.5638914303141201
0.05,90,1.0,0.8,0.5599268069533394
0.05,110,0.6,1.0,0.5596218359255871
0.05,100,0.6,1.0,0.5541323574260445
0.05,80,0.8,1.0,0.5495577920097591
0.05,90,0.8,1.0,0.5477279658432449
0.05,80,0.6,1.0,0.5355291247331504
0.05,90,0.6,1.0,0.5321744434278743
0.05,120,1.0,1.0,0.5245501677340653
0.05,110,1.0,1.0,0.5239402256785606
0.05,100,1.0,1.0,0.5224153705397987
0.05,90,1.0,1.0,0.5074717901799329
0.05,80,1.0,1.0,0.501677340652638
